time,number_of_rows
2020-10-21 14:20:00,944
2020-10-26 11:00:00,54
2020-10-26 13:46:40,247
2020-11-27 15:13:20,1047
2021-01-14 13:13:20,14054
2021-01-14 16:00:00,17530
2021-01-14 18:46:40,17405
2021-01-14 21:33:20,17397
2021-01-15 00:20:00,17406
2021-01-15 03:06:40,12516
2021-02-12 14:26:40,1530
2021-05-25 10:53:20,13834
2021-05-25 13:40:00,17411
2021-05-25 16:26:40,17419
2021-05-25 19:13:20,17358
2021-05-25 22:00:00,17363
2021-05-26 00:46:40,16533
2021-05-26 03:33:20,13397
2021-05-26 06:20:00,17330
2021-05-26 09:06:40,17351
2021-05-26 11:53:20,17319
2021-05-26 14:40:00,17342
2021-05-26 17:26:40,17419
2021-05-26 20:13:20,17413
2021-05-26 23:00:00,17395
2021-05-27 01:46:40,10288
2021-05-27 04:33:20,16685
2021-05-27 07:20:00,17357
2021-05-27 10:06:40,12804
2021-05-28 08:20:00,358
2021-05-28 11:06:40,3217
2021-05-28 13:53:20,7583
2021-05-28 16:40:00,7579
2021-05-28 19:26:40,7582
2021-05-28 22:13:20,7692
2021-05-29 01:00:00,6647
2021-05-29 03:46:40,3828
2021-05-29 06:33:20,7591
2021-05-29 09:20:00,7584
2021-05-29 12:06:40,7588
2021-05-29 14:53:20,7587
2021-05-29 17:40:00,7580
2021-05-29 20:26:40,7695
2021-05-29 23:13:20,7586
2021-05-30 02:00:00,3924
2021-05-30 04:46:40,6951
2021-05-30 07:33:20,7589
2021-05-30 10:20:00,7591
2021-05-30 13:06:40,7592
2021-05-30 15:53:20,7591
2021-05-30 18:40:00,7693
2021-05-30 21:26:40,7576
2021-05-31 00:13:20,7580
2021-05-31 03:00:00,3170
2021-05-31 05:46:40,7582
2021-05-31 08:33:20,6484
2021-05-31 11:20:00,6274
2021-05-31 14:06:40,6276
2021-05-31 16:53:20,6355
2021-05-31 19:40:00,6286
2021-05-31 22:26:40,6283
2021-06-01 01:13:20,4964
2021-06-01 04:00:00,3268
2021-06-01 06:46:40,6274
2021-06-01 09:33:20,9257
2021-06-01 12:20:00,17124
2021-06-01 15:06:40,17345
2021-06-01 17:53:20,17403
2021-06-01 20:40:00,9304
2021-10-21 12:40:00,250
2021-10-21 15:26:40,14540
2021-10-27 07:33:20,8240
2021-12-02 13:00:00,430
2021-12-06 08:40:00,26630
2021-12-06 11:26:40,48825
2021-12-06 14:13:20,46908
2021-12-06 17:00:00,46356
2021-12-06 19:46:40,46380
2021-12-06 22:33:20,46364
2021-12-07 01:20:00,46256
2021-12-07 04:06:40,5020
2021-12-07 06:53:20,45400
2021-12-07 09:40:00,46260
2021-12-07 12:26:40,46908
2021-12-07 15:13:20,46288
2021-12-07 18:00:00,46416
2021-12-07 20:46:40,46332
2021-12-07 23:33:20,46328
2021-12-08 02:20:00,34656
2021-12-08 05:06:40,13132
2021-12-08 07:53:20,45948
2021-12-08 10:40:00,50034
2021-12-08 13:26:40,50924
2021-12-08 16:13:20,16664
2021-12-09 11:40:00,14552
2021-12-10 07:06:40,1614
2021-12-10 09:53:20,21120
2021-12-10 12:40:00,7298
2022-01-12 15:06:40,7146
2022-02-16 08:26:40,5164
2022-02-18 07:40:00,5456
2022-02-18 10:26:40,2140
2022-02-28 09:20:00,354
2022-03-02 14:06:40,5670
2022-03-02 16:53:20,1356
2022-03-03 09:33:20,5534
2022-03-04 13:20:00,23038
2022-03-04 16:06:40,23296
2022-03-04 18:53:20,23306
2022-03-04 21:40:00,11651
2022-03-05 00:26:40,11670
2022-03-05 03:13:20,5005
2022-03-05 06:00:00,5599
2022-03-05 08:46:40,11652
2022-03-05 11:33:20,11804
2022-03-05 14:20:00,11640
2022-03-05 17:06:40,11660
2022-03-05 19:53:20,11657
2022-03-05 22:40:00,11671
2022-03-06 01:26:40,11654
2022-03-06 04:13:20,808
2022-03-06 07:00:00,8938
2022-03-06 09:46:40,11802
2022-03-06 12:33:20,11656
2022-03-06 15:20:00,11642
2022-03-06 18:06:40,11664
2022-03-06 20:53:20,11648
2022-03-06 23:40:00,11645
2022-03-07 02:26:40,8271
2022-03-07 05:13:20,368
2022-03-07 08:00:00,11822
2022-03-07 10:46:40,11647
2022-03-07 13:33:20,11538
2022-03-09 10:00:00,302
2022-03-09 12:46:40,9779
2022-03-09 15:33:20,11535
2022-03-09 18:20:00,11562
2022-03-09 21:06:40,10890
2022-03-09 23:53:20,10875
2022-03-10 02:40:00,6902
2022-03-10 05:26:40,56
2022-03-10 08:13:20,10852
2022-03-10 11:00:00,10839
2022-03-10 13:46:40,10875
2022-03-10 16:33:20,10871
2022-03-10 19:20:00,10878
2022-03-10 22:06:40,10896
2022-03-11 00:53:20,11010
2022-03-11 03:40:00,2845
2022-03-11 06:26:40,3124
2022-03-11 09:13:20,11175
2022-03-11 12:00:00,11651
2022-03-11 14:46:40,6499
2022-03-15 07:40:00,45
2022-03-15 13:13:20,681
2022-03-22 14:40:00,4980
2022-03-22 17:26:40,11017
2022-03-22 20:13:20,22385
2022-03-22 23:00:00,22761
2022-03-23 01:46:40,21707
2022-03-23 07:20:00,12211
2022-03-23 10:06:40,18601
2022-03-23 12:53:20,7414
2022-03-23 18:26:40,535
2022-03-28 09:33:20,536
2022-03-28 12:20:00,5156
2022-03-29 07:46:40,70
2022-03-29 10:33:20,1146
2022-03-29 13:20:00,11811
2022-03-29 16:06:40,11684
2022-03-29 18:53:20,11669
2022-03-29 21:40:00,11679
2022-03-30 00:26:40,11652
2022-03-30 03:13:20,793
2022-03-30 06:00:00,3302
2022-03-30 08:46:40,3301
2022-04-04 08:13:20,10
2022-04-05 09:13:20,6432
2022-04-05 12:00:00,11617
2022-04-05 14:46:40,24
2022-04-06 13:00:00,2875
2022-04-06 15:46:40,4675
2022-04-07 05:40:00,1874
2022-04-07 08:26:40,8989
2022-04-07 11:13:20,11507
2022-04-07 14:00:00,1256
2022-04-08 09:26:40,606
2022-04-11 06:53:20,1911
2022-04-11 09:40:00,3291
2022-04-28 07:13:20,177
2022-04-28 10:00:00,484
2022-04-28 12:46:40,105
2022-04-29 11:00:00,105
2022-04-29 13:46:40,12
2022-05-02 08:26:40,644
2022-05-09 09:53:20,71
2022-05-09 12:40:00,7
2022-05-12 12:53:20,488
2022-05-13 08:20:00,4783
2022-05-13 11:06:40,4971
2022-05-13 13:53:20,3458
2022-05-17 09:33:20,5082
2022-05-17 12:20:00,6545
2022-05-17 15:06:40,6744
2022-05-17 17:53:20,6656
2022-05-17 20:40:00,6664
2022-05-17 23:26:40,6657
2022-05-18 02:13:20,2946
2022-05-18 07:46:40,12601
2022-05-18 10:33:20,8078
2022-05-19 14:20:00,2132
2022-05-19 17:06:40,4935
2022-05-19 19:53:20,4943
2022-05-19 22:40:00,4926
2022-05-20 01:26:40,3557
2022-05-20 07:00:00,2591
2022-05-20 09:46:40,4974
2022-05-20 12:33:20,3925
2022-05-20 15:20:00,786
2022-05-24 08:13:20,1238
2022-05-24 11:00:00,8747
2022-05-28 12:13:20,336
2022-06-23 13:13:20,100
2022-07-11 11:46:40,269
